Name,Main Table,Filter,Related Tables,Comments
Other loans,INSTRMNT,OTHR_LN,INSTRMNT_RL:PRTY:INSTRMNT_ENTTY_RL_ASSGNMNT:CLLTRL,
Credit card debt,INSTRMNT,CRDT_CRD_DBT,INSTRMNT_RL:PRTY:INSTRMNT_ENTTY_RL_ASSGNMNT:CLLTRL,
